0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AAB,AAB,AAB,AAB,AAB,AAB,AAB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AAAAA,AAAAA,AAAAA,AAAAA,AAAB,AAAAB,AAAAA,AAAAA,AAAAA
AAB,AAB,AAB,AAB,AAB,AAB,AAB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AAAAA,AAAAA,AAAAA,AAAAA,AAAB,AAAAB,AAAAA,AAAAA,AAAAA
AAB,AAB,AAB,AAB,AAB,AAB,AAB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AAAAA,AAAAA,AAAAA,AAAAA,AAAB,AAAAB,AAAAA,AAAAA,AAAAA
AAB,AAB,AAB,AAB,AAB,AAB,AAB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AAAAA,AAAAA,AAAAA,AAAAA,AAAB,AAAAB,AAAAA,AAAAA,AAAAA
AAB,AAB,AAB,AAB,AAB,AAB,AAB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AAAAA,AAAAA,AAAAA,AAAAA,AAAB,AAAAB,AAAAA,AAAAA,AAAAA
AAB,AAB,AAB,AAB,AAB,AAB,AAB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AAAAA,AAAAA,AAAAA,AAAAA,AAAB,AAAAB,AAAAA,AAAAA,AAAAA
AAB,AAB,AAB,AAB,AAB,AAB,AAB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AAAAA,AAAAA,AAAAA,AAAAA,AAAB,AAAAB,AAAAA,AAAAA,AAAAA
AAB,AAB,AAB,AAB,AAB,AAB,AAB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AAAAA,AAAAA,AAAAA,AAAAA,AAAB,AAAAB,AAAAA,AAAAA,AAAAA
AAB,AAB,AAB,AAB,AAB,AAB,AAB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AAAAA,AAAAA,AAAAA,AAAAA,AAAB,AAAAB,AAAAA,AAAAA,AAAAA
AAB,AAB,AAB,AAB,AAB,AAB,AAB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AAAAA,AAAAA,AAAAA,AAAAA,AAAB,AAAAB,AAAAA,AAAAA,AAAAA
AAB,AAB,AAB,AAB,AAB,AAB,AAB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AAAAA,AAAAA,AAAAA,AAAAA,AAAB,AAAAB,AAAAA,AAAAA,AAAAA
AAB,AAB,AAB,AAB,AAB,AAB,AAB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AAAAA,AAAAA,AAAAA,AAAAA,AAAB,AAAAB,AAAAA,AAAAA,AAAAA
AAB,AAB,AAB,AAB,AAB,AAB,AAB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AAAAA,AAAAA,AAAAA,AAAAA,AAAB,AAAAB,AAAAA,AAAAA,AAAAA
AAB,AAB,AAB,AAB,AAB,AAB,AAB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AAAAA,AAAAA,AAAAA,AAAAA,AAAB,AAAAB,AAAAA,AAAAA,AAAAA
AAB,AAB,AAB,AAB,AAB,AAB,AAB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AAAAA,AAAAA,AAAAA,AAAAA,AAAB,AAAAB,AAAAA,AAAAA,AAAAA
AAB,AAB,AAB,AAB,AAB,AAB,AAB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AAAAA,AAAAA,AAAAA,AAAAA,AAAB,AAAAB,AAAAA,AAAAA,AAAAA
AAB,AAB,AAB,AAB,AAB,AAB,AAB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AAAAA,AAAAA,AAAAA,AAAAA,AAAB,AAAAB,AAAAA,AAAAA,AAAAA
AAB,AAB,AAB,AAB,AAB,AAB,AAB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AAAAA,AAAAA,AAAAA,AAAAA,AAAB,AAAAB,AAAAA,AAAAA,AAAAA
AAB,AAB,AAB,AAB,AAB,AAB,AAB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AAAAA,AAAAA,AAAAA,AAAAA,AAAB,AAAAB,AAAAA,AAAAA,AAAAA
AAB,AAB,AAB,AAB,AAB,AAB,AAB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AAAAAA,AAAAAB,AAAAAB,AAAAAA,AAAB,AAAAB,AAAAAA,AAAAAA,AAAAAA
