0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
AD,AC,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB
